timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530016749498,24,Stock creation SOAP Request,200,,Number of Users 1-1,text,true,,18373,474,1,1,23,0,2
1530016749523,21,Stock creation SOAP Request,200,,Number of Users 1-1,text,true,,18373,474,1,1,20,0,0
1530016749556,26,Stock creation SOAP Request,200,,Number of Users 1-2,text,true,,18373,474,1,1,25,0,0
1530016749586,15,Stock creation SOAP Request,200,,Number of Users 1-2,text,true,,18373,474,1,1,14,0,0
1530016749611,18,Stock creation SOAP Request,200,,Number of Users 1-3,text,true,,18373,474,1,1,17,0,0
1530016749629,18,Stock creation SOAP Request,200,,Number of Users 1-3,text,true,,18373,474,1,1,17,0,0
1530016749668,20,Stock creation SOAP Request,200,,Number of Users 1-4,text,true,,18373,474,1,1,19,0,0
1530016749688,15,Stock creation SOAP Request,200,,Number of Users 1-4,text,true,,18373,474,1,1,15,0,0
1530016749720,18,Stock creation SOAP Request,200,,Number of Users 1-5,text,true,,18373,474,1,1,17,0,0
1530016749739,14,Stock creation SOAP Request,200,,Number of Users 1-5,text,true,,18373,474,1,1,14,0,0
1530016749777,16,Stock creation SOAP Request,200,,Number of Users 1-6,text,true,,18373,474,1,1,15,0,0
1530016749793,15,Stock creation SOAP Request,200,,Number of Users 1-6,text,true,,18373,474,1,1,14,0,0
1530016749835,17,Stock creation SOAP Request,200,,Number of Users 1-7,text,true,,18373,474,1,1,16,0,0
1530016749853,14,Stock creation SOAP Request,200,,Number of Users 1-7,text,true,,18373,474,1,1,13,0,0
1530016749889,15,Stock creation SOAP Request,200,,Number of Users 1-8,text,true,,18373,474,1,1,15,0,0
1530016749905,14,Stock creation SOAP Request,200,,Number of Users 1-8,text,true,,18373,474,1,1,14,0,0
1530016749945,15,Stock creation SOAP Request,200,,Number of Users 1-9,text,true,,18373,474,1,1,15,0,0
1530016749961,15,Stock creation SOAP Request,200,,Number of Users 1-9,text,true,,18373,474,1,1,15,0,0
1530016750001,16,Stock creation SOAP Request,200,,Number of Users 1-10,text,true,,18373,474,1,1,16,0,0
1530016750018,15,Stock creation SOAP Request,200,,Number of Users 1-10,text,true,,18373,474,1,1,15,0,0
1530016750057,16,Stock creation SOAP Request,200,,Number of Users 1-11,text,true,,18373,474,1,1,16,0,0
1530016750074,15,Stock creation SOAP Request,200,,Number of Users 1-11,text,true,,18373,474,1,1,14,0,0
1530016750113,15,Stock creation SOAP Request,200,,Number of Users 1-12,text,true,,18373,474,1,1,15,0,0
1530016750129,15,Stock creation SOAP Request,200,,Number of Users 1-12,text,true,,18373,474,1,1,15,0,0
1530016750169,16,Stock creation SOAP Request,200,,Number of Users 1-13,text,true,,18373,474,1,1,15,0,0
1530016750186,15,Stock creation SOAP Request,200,,Number of Users 1-13,text,true,,18373,474,1,1,14,0,0
1530016750226,15,Stock creation SOAP Request,200,,Number of Users 1-14,text,true,,18373,474,1,1,15,0,0
1530016750242,16,Stock creation SOAP Request,200,,Number of Users 1-14,text,true,,18373,474,1,1,15,0,0
1530016750282,15,Stock creation SOAP Request,200,,Number of Users 1-15,text,true,,18373,474,1,1,15,0,0
