timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528451546134,49,Stock update SOAP Request,200,,Number of Users 1-1,text,true,,505,751,1,1,49,0,22
1528451546188,34,Stock update SOAP Request,200,,Number of Users 1-1,text,true,,505,751,1,1,34,0,0
1528451546233,18,Stock update SOAP Request,200,,Number of Users 1-2,text,true,,505,751,1,1,18,0,1
1528451546253,17,Stock update SOAP Request,200,,Number of Users 1-2,text,true,,505,751,1,1,17,0,0
1528451546333,67,Stock update SOAP Request,200,,Number of Users 1-3,text,false,"The operation lasted too long: It took 67 milliseconds, but should not have lasted longer than 60 milliseconds.",505,751,1,1,67,0,1
1528451546400,24,Stock update SOAP Request,200,,Number of Users 1-3,text,true,,505,751,1,1,24,0,0
1528451546433,24,Stock update SOAP Request,200,,Number of Users 1-4,text,true,,505,751,1,1,24,0,0
1528451546458,18,Stock update SOAP Request,200,,Number of Users 1-4,text,true,,505,751,1,1,18,0,0
1528451546533,52,Stock update SOAP Request,200,,Number of Users 1-5,text,true,,505,751,1,1,52,0,1
1528451546586,21,Stock update SOAP Request,200,,Number of Users 1-5,text,true,,505,751,1,1,21,0,0
1528451546631,21,Stock update SOAP Request,200,,Number of Users 1-6,text,true,,505,751,1,1,21,0,0
1528451546653,22,Stock update SOAP Request,200,,Number of Users 1-6,text,true,,505,751,1,1,22,0,0
1528451546730,23,Stock update SOAP Request,200,,Number of Users 1-7,text,true,,505,751,1,1,23,0,0
1528451546754,22,Stock update SOAP Request,200,,Number of Users 1-7,text,true,,505,751,1,1,22,0,0
1528451546832,56,Stock update SOAP Request,200,,Number of Users 1-8,text,true,,505,751,1,1,56,0,2
1528451546888,29,Stock update SOAP Request,200,,Number of Users 1-8,text,true,,505,751,1,1,29,0,0
1528451546932,24,Stock update SOAP Request,200,,Number of Users 1-9,text,true,,505,751,1,1,24,0,0
1528451546957,18,Stock update SOAP Request,200,,Number of Users 1-9,text,true,,505,751,1,1,18,0,0
1528451547030,23,Stock update SOAP Request,200,,Number of Users 1-10,text,true,,505,751,1,1,23,0,0
1528451547053,22,Stock update SOAP Request,200,,Number of Users 1-10,text,true,,505,751,1,1,22,0,0
1528451547130,28,Stock update SOAP Request,200,,Number of Users 1-11,text,true,,505,751,1,1,28,0,0
1528451547159,29,Stock update SOAP Request,200,,Number of Users 1-11,text,true,,505,751,1,1,28,0,0
1528451547232,19,Stock update SOAP Request,200,,Number of Users 1-12,text,true,,505,751,1,1,19,0,0
1528451547251,28,Stock update SOAP Request,200,,Number of Users 1-12,text,true,,505,751,1,1,28,0,0
1528451547332,40,Stock update SOAP Request,200,,Number of Users 1-13,text,true,,505,751,1,1,40,0,0
1528451547373,28,Stock update SOAP Request,200,,Number of Users 1-13,text,true,,505,751,1,1,28,0,0
1528451547430,25,Stock update SOAP Request,200,,Number of Users 1-14,text,true,,505,751,1,1,25,0,0
1528451547456,18,Stock update SOAP Request,200,,Number of Users 1-14,text,true,,505,751,1,1,18,0,0
1528451547530,47,Stock update SOAP Request,200,,Number of Users 1-15,text,true,,505,751,1,1,47,0,2
1528451547578,21,Stock update SOAP Request,200,,Number of Users 1-15,text,true,,505,751,1,1,21,0,0
1528451547630,25,Stock update SOAP Request,200,,Number of Users 1-16,text,true,,505,751,1,1,25,0,0
1528451547656,21,Stock update SOAP Request,200,,Number of Users 1-16,text,true,,505,751,1,1,21,0,0
1528451547730,24,Stock update SOAP Request,200,,Number of Users 1-17,text,true,,505,751,1,1,24,0,0
1528451547755,29,Stock update SOAP Request,200,,Number of Users 1-17,text,true,,505,751,1,1,29,0,0
1528451547831,64,Stock update SOAP Request,200,,Number of Users 1-18,text,false,"The operation lasted too long: It took 64 milliseconds, but should not have lasted longer than 60 milliseconds.",505,751,1,1,64,0,2
1528451547902,31,Stock update SOAP Request,200,,Number of Users 1-18,text,true,,505,751,2,2,31,0,0
1528451547931,23,Stock update SOAP Request,200,,Number of Users 1-19,text,true,,505,751,1,1,23,0,1
1528451547955,19,Stock update SOAP Request,200,,Number of Users 1-19,text,true,,505,751,1,1,19,0,0
1528451548032,86,Stock update SOAP Request,200,,Number of Users 1-20,text,false,"The operation lasted too long: It took 86 milliseconds, but should not have lasted longer than 60 milliseconds.",505,751,1,1,85,0,2
1528451548132,48,Stock update SOAP Request,200,,Number of Users 1-21,text,true,,505,751,2,2,48,0,0
1528451548118,65,Stock update SOAP Request,200,,Number of Users 1-20,text,false,"The operation lasted too long: It took 65 milliseconds, but should not have lasted longer than 60 milliseconds.",505,751,2,2,65,0,0
1528451548180,24,Stock update SOAP Request,200,,Number of Users 1-21,text,true,,505,751,1,1,24,0,0
1528451548232,18,Stock update SOAP Request,200,,Number of Users 1-22,text,true,,505,751,1,1,18,0,1
1528451548251,20,Stock update SOAP Request,200,,Number of Users 1-22,text,true,,505,751,1,1,20,0,0
1528451548332,49,Stock update SOAP Request,200,,Number of Users 1-23,text,true,,505,751,1,1,49,0,2
1528451548381,32,Stock update SOAP Request,200,,Number of Users 1-23,text,true,,505,751,1,1,31,0,0
1528451548432,30,Stock update SOAP Request,200,,Number of Users 1-24,text,true,,505,751,1,1,30,0,1
1528451548463,34,Stock update SOAP Request,200,,Number of Users 1-24,text,true,,505,751,1,1,34,0,0
1528451548532,26,Stock update SOAP Request,200,,Number of Users 1-25,text,true,,505,751,1,1,26,0,1
1528451548559,38,Stock update SOAP Request,200,,Number of Users 1-25,text,true,,505,751,1,1,38,0,0
1528451548633,21,Stock update SOAP Request,200,,Number of Users 1-26,text,true,,505,751,1,1,21,0,1
1528451548654,29,Stock update SOAP Request,200,,Number of Users 1-26,text,true,,505,751,1,1,29,0,0
1528451548733,26,Stock update SOAP Request,200,,Number of Users 1-27,text,true,,505,751,1,1,26,0,0
1528451548760,24,Stock update SOAP Request,200,,Number of Users 1-27,text,true,,505,751,1,1,24,0,0
1528451548835,21,Stock update SOAP Request,200,,Number of Users 1-28,text,true,,505,751,1,1,21,0,0
1528451548856,28,Stock update SOAP Request,200,,Number of Users 1-28,text,true,,505,751,1,1,28,0,0
1528451548935,28,Stock update SOAP Request,200,,Number of Users 1-29,text,true,,505,751,1,1,28,0,1
1528451548963,21,Stock update SOAP Request,200,,Number of Users 1-29,text,true,,505,751,1,1,21,0,0
1528451549034,44,Stock update SOAP Request,200,,Number of Users 1-30,text,true,,505,751,1,1,44,0,0
1528451549079,22,Stock update SOAP Request,200,,Number of Users 1-30,text,true,,505,751,1,1,22,0,0
1528451549134,27,Stock update SOAP Request,200,,Number of Users 1-31,text,true,,505,751,1,1,27,0,0
1528451549162,26,Stock update SOAP Request,200,,Number of Users 1-31,text,true,,505,751,1,1,26,0,0
1528451549238,28,Stock update SOAP Request,200,,Number of Users 1-32,text,true,,505,751,1,1,27,0,0
1528451549266,30,Stock update SOAP Request,200,,Number of Users 1-32,text,true,,505,751,1,1,29,0,0
1528451549338,26,Stock update SOAP Request,200,,Number of Users 1-33,text,true,,505,751,1,1,26,0,0
1528451549365,27,Stock update SOAP Request,200,,Number of Users 1-33,text,true,,505,751,1,1,27,0,0
1528451549434,20,Stock update SOAP Request,200,,Number of Users 1-34,text,true,,505,751,1,1,20,0,0
1528451549455,23,Stock update SOAP Request,200,,Number of Users 1-34,text,true,,505,751,1,1,23,0,0
1528451549534,28,Stock update SOAP Request,200,,Number of Users 1-35,text,true,,505,751,1,1,28,0,1
1528451549563,22,Stock update SOAP Request,200,,Number of Users 1-35,text,true,,505,751,1,1,22,0,0
1528451549638,23,Stock update SOAP Request,200,,Number of Users 1-36,text,true,,505,751,1,1,23,0,1
1528451549662,23,Stock update SOAP Request,200,,Number of Users 1-36,text,true,,505,751,1,1,22,0,0
1528451549738,24,Stock update SOAP Request,200,,Number of Users 1-37,text,true,,505,751,1,1,24,0,0
1528451549762,26,Stock update SOAP Request,200,,Number of Users 1-37,text,true,,505,751,1,1,26,0,0
1528451549839,27,Stock update SOAP Request,200,,Number of Users 1-38,text,true,,505,751,1,1,27,0,0
1528451549867,23,Stock update SOAP Request,200,,Number of Users 1-38,text,true,,505,751,1,1,23,0,0
1528451549941,26,Stock update SOAP Request,200,,Number of Users 1-39,text,true,,505,751,1,1,26,0,1
1528451549968,19,Stock update SOAP Request,200,,Number of Users 1-39,text,true,,505,751,1,1,19,0,0
1528451550041,79,Stock update SOAP Request,200,,Number of Users 1-40,text,false,"The operation lasted too long: It took 79 milliseconds, but should not have lasted longer than 60 milliseconds.",505,751,1,1,79,0,1
1528451550139,29,Stock update SOAP Request,200,,Number of Users 1-41,text,true,,505,751,2,2,29,0,1
1528451550121,48,Stock update SOAP Request,200,,Number of Users 1-40,text,true,,505,751,2,2,48,0,0
1528451550169,38,Stock update SOAP Request,200,,Number of Users 1-41,text,true,,505,751,1,1,38,0,0
1528451550248,22,Stock update SOAP Request,200,,Number of Users 1-42,text,true,,505,751,1,1,22,0,0
1528451550271,26,Stock update SOAP Request,200,,Number of Users 1-42,text,true,,505,751,1,1,26,0,0
1528451550348,20,Stock update SOAP Request,200,,Number of Users 1-43,text,true,,505,751,1,1,20,0,0
1528451550369,46,Stock update SOAP Request,200,,Number of Users 1-43,text,true,,505,751,1,1,46,0,0
1528451550439,20,Stock update SOAP Request,200,,Number of Users 1-44,text,true,,505,751,1,1,20,0,0
1528451550460,24,Stock update SOAP Request,200,,Number of Users 1-44,text,true,,505,751,1,1,24,0,0
1528451550540,42,Stock update SOAP Request,200,,Number of Users 1-45,text,true,,505,751,1,1,42,0,1
1528451550583,23,Stock update SOAP Request,200,,Number of Users 1-45,text,true,,505,751,1,1,23,0,0
1528451550650,18,Stock update SOAP Request,200,,Number of Users 1-46,text,true,,505,751,1,1,18,0,1
1528451550669,16,Stock update SOAP Request,200,,Number of Users 1-46,text,true,,505,751,1,1,16,0,0
1528451550750,62,Stock update SOAP Request,200,,Number of Users 1-47,text,false,"The operation lasted too long: It took 62 milliseconds, but should not have lasted longer than 60 milliseconds.",505,751,1,1,62,0,2
1528451550813,39,Stock update SOAP Request,200,,Number of Users 1-47,text,true,,505,751,2,2,39,0,0
1528451550840,25,Stock update SOAP Request,200,,Number of Users 1-48,text,true,,505,751,1,1,24,0,0
1528451550865,20,Stock update SOAP Request,200,,Number of Users 1-48,text,true,,505,751,1,1,20,0,0
