timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530020571169,59,Stock creation SOAP Request,200,,Number of Users 1-1,text,true,,505,707,1,1,59,0,1
1530020571228,21,Stock creation SOAP Request,200,,Number of Users 1-1,text,true,,505,707,1,1,21,0,0
1530020571269,20,Stock creation SOAP Request,200,,Number of Users 1-2,text,true,,505,707,1,1,20,0,1
1530020571291,19,Stock creation SOAP Request,200,,Number of Users 1-2,text,true,,505,707,1,1,18,0,0
1530020571369,62,Stock creation SOAP Request,200,,Number of Users 1-3,text,true,,505,707,1,1,62,0,2
1530020571432,30,Stock creation SOAP Request,200,,Number of Users 1-3,text,true,,505,707,1,1,30,0,0
1530020571471,34,Stock creation SOAP Request,200,,Number of Users 1-4,text,true,,505,707,1,1,34,0,1
1530020571505,18,Stock creation SOAP Request,200,,Number of Users 1-4,text,true,,505,707,1,1,18,0,0
1530020571572,49,Stock creation SOAP Request,200,,Number of Users 1-5,text,true,,505,707,1,1,49,0,1
1530020571621,26,Stock creation SOAP Request,200,,Number of Users 1-5,text,true,,505,707,1,1,25,0,0
1530020571671,20,Stock creation SOAP Request,200,,Number of Users 1-6,text,true,,505,707,1,1,20,0,1
1530020571692,27,Stock creation SOAP Request,200,,Number of Users 1-6,text,true,,505,707,1,1,27,0,0
1530020571769,49,Stock creation SOAP Request,200,,Number of Users 1-7,text,true,,505,707,1,1,49,0,1
1530020571818,19,Stock creation SOAP Request,200,,Number of Users 1-7,text,true,,505,707,1,1,19,0,0
1530020571869,26,Stock creation SOAP Request,200,,Number of Users 1-8,text,true,,505,707,1,1,26,0,1
1530020571895,18,Stock creation SOAP Request,200,,Number of Users 1-8,text,true,,505,707,1,1,18,0,0
1530020571972,60,Stock creation SOAP Request,200,,Number of Users 1-9,text,true,,505,707,1,1,60,0,2
1530020572033,24,Stock creation SOAP Request,200,,Number of Users 1-9,text,true,,505,707,1,1,24,0,0
1530020572069,21,Stock creation SOAP Request,200,,Number of Users 1-10,text,true,,505,707,1,1,20,0,1
1530020572090,30,Stock creation SOAP Request,200,,Number of Users 1-10,text,true,,505,707,1,1,30,0,0
1530020572172,29,Stock creation SOAP Request,200,,Number of Users 1-11,text,true,,505,707,1,1,29,0,0
1530020572202,22,Stock creation SOAP Request,200,,Number of Users 1-11,text,true,,505,707,1,1,22,0,0
1530020572272,20,Stock creation SOAP Request,200,,Number of Users 1-12,text,true,,505,707,1,1,20,0,0
1530020572292,24,Stock creation SOAP Request,200,,Number of Users 1-12,text,true,,505,707,1,1,24,0,0
1530020572372,54,Stock creation SOAP Request,200,,Number of Users 1-13,text,true,,505,707,1,1,53,0,2
1530020572426,25,Stock creation SOAP Request,200,,Number of Users 1-13,text,true,,505,707,1,1,25,0,0
1530020572474,64,Stock creation SOAP Request,200,,Number of Users 1-14,text,true,,505,707,1,1,63,0,0
1530020572538,81,Stock creation SOAP Request,200,,Number of Users 1-14,text,true,,505,707,2,2,80,0,0
1530020572576,45,Stock creation SOAP Request,200,,Number of Users 1-15,text,true,,503,707,1,1,45,0,0
1530020572621,38,Stock creation SOAP Request,200,,Number of Users 1-15,text,true,,505,707,1,1,38,0,0
1530020572676,37,Stock creation SOAP Request,200,,Number of Users 1-16,text,true,,505,707,1,1,37,0,0
1530020572713,37,Stock creation SOAP Request,200,,Number of Users 1-16,text,true,,505,707,1,1,37,0,0
1530020572773,37,Stock creation SOAP Request,200,,Number of Users 1-17,text,true,,505,707,1,1,37,0,1
1530020572811,48,Stock creation SOAP Request,200,,Number of Users 1-17,text,true,,505,707,1,1,48,0,0
1530020572873,52,Stock creation SOAP Request,200,,Number of Users 1-18,text,true,,505,707,1,1,52,0,1
1530020572925,43,Stock creation SOAP Request,200,,Number of Users 1-18,text,true,,505,707,1,1,43,0,0
1530020572976,37,Stock creation SOAP Request,200,,Number of Users 1-19,text,true,,505,707,1,1,37,0,0
1530020573014,33,Stock creation SOAP Request,200,,Number of Users 1-19,text,true,,505,707,1,1,33,0,0
1530020573076,37,Stock creation SOAP Request,200,,Number of Users 1-20,text,true,,505,707,1,1,36,0,1
1530020573113,37,Stock creation SOAP Request,200,,Number of Users 1-20,text,true,,505,707,1,1,37,0,0
1530020573176,35,Stock creation SOAP Request,200,,Number of Users 1-21,text,true,,505,707,1,1,35,0,0
1530020573212,18,Stock creation SOAP Request,200,,Number of Users 1-21,text,true,,505,707,1,1,18,0,0
1530020573278,48,Stock creation SOAP Request,200,,Number of Users 1-22,text,true,,505,707,1,1,48,0,2
1530020573327,26,Stock creation SOAP Request,200,,Number of Users 1-22,text,true,,505,707,1,1,26,0,0
1530020573378,24,Stock creation SOAP Request,200,,Number of Users 1-23,text,true,,505,707,1,1,24,0,0
1530020573403,19,Stock creation SOAP Request,200,,Number of Users 1-23,text,true,,505,707,1,1,19,0,0
1530020573478,54,Stock creation SOAP Request,200,,Number of Users 1-24,text,true,,505,707,1,1,54,0,2
1530020573533,21,Stock creation SOAP Request,200,,Number of Users 1-24,text,true,,505,707,1,1,21,0,0
1530020573580,33,Stock creation SOAP Request,200,,Number of Users 1-25,text,true,,505,707,1,1,33,0,0
1530020573613,19,Stock creation SOAP Request,200,,Number of Users 1-25,text,true,,505,707,1,1,19,0,0
1530020573680,20,Stock creation SOAP Request,200,,Number of Users 1-26,text,true,,505,707,1,1,20,0,0
1530020573700,19,Stock creation SOAP Request,200,,Number of Users 1-26,text,true,,505,707,1,1,19,0,0
1530020573780,22,Stock creation SOAP Request,200,,Number of Users 1-27,text,true,,505,707,1,1,22,0,0
1530020573803,20,Stock creation SOAP Request,200,,Number of Users 1-27,text,true,,505,707,1,1,19,0,0
1530020573880,56,Stock creation SOAP Request,200,,Number of Users 1-28,text,true,,505,707,1,1,56,0,2
1530020573937,27,Stock creation SOAP Request,200,,Number of Users 1-28,text,true,,505,707,1,1,27,0,0
