timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530021085069,29,Stock update SOAP Request,200,,Number of Users 1-1,text,true,,505,751,1,1,29,0,2
1530021085099,29,Stock update SOAP Request,200,,Number of Users 1-1,text,true,,505,751,1,1,29,0,0
1530021085169,27,Stock update SOAP Request,200,,Number of Users 1-2,text,true,,505,751,1,1,27,0,1
1530021085213,23,Stock update SOAP Request,200,,Number of Users 1-2,text,true,,505,751,1,1,23,0,0
1530021085269,14,Stock update SOAP Request,200,,Number of Users 1-3,text,true,,505,751,1,1,14,0,0
1530021085284,14,Stock update SOAP Request,200,,Number of Users 1-3,text,true,,505,751,1,1,14,0,0
1530021085371,18,Stock update SOAP Request,200,,Number of Users 1-4,text,true,,505,751,1,1,18,0,1
1530021085390,13,Stock update SOAP Request,200,,Number of Users 1-4,text,true,,505,751,1,1,13,0,0
1530021085471,42,Stock update SOAP Request,200,,Number of Users 1-5,text,true,,505,751,1,1,42,0,1
1530021085513,21,Stock update SOAP Request,200,,Number of Users 1-5,text,true,,505,751,1,1,20,0,0
1530021085570,35,Stock update SOAP Request,200,,Number of Users 1-6,text,true,,505,751,1,1,35,0,2
1530021085606,21,Stock update SOAP Request,200,,Number of Users 1-6,text,true,,505,751,1,1,21,0,0
1530021085675,31,Stock update SOAP Request,200,,Number of Users 1-7,text,true,,505,751,1,1,31,0,2
1530021085707,19,Stock update SOAP Request,200,,Number of Users 1-7,text,true,,505,751,1,1,19,0,0
1530021085774,16,Stock update SOAP Request,200,,Number of Users 1-8,text,true,,505,751,1,1,16,0,1
1530021085791,16,Stock update SOAP Request,200,,Number of Users 1-8,text,true,,505,751,1,1,16,0,0
1530021085874,16,Stock update SOAP Request,200,,Number of Users 1-9,text,true,,505,751,1,1,15,0,1
1530021085890,13,Stock update SOAP Request,200,,Number of Users 1-9,text,true,,505,751,1,1,13,0,0
1530021085974,14,Stock update SOAP Request,200,,Number of Users 1-10,text,true,,505,751,1,1,14,0,1
1530021085989,11,Stock update SOAP Request,200,,Number of Users 1-10,text,true,,505,751,1,1,11,0,0
1530021086072,26,Stock update SOAP Request,200,,Number of Users 1-11,text,true,,505,751,1,1,26,0,1
1530021086098,17,Stock update SOAP Request,200,,Number of Users 1-11,text,true,,505,751,1,1,17,0,0
1530021086178,14,Stock update SOAP Request,200,,Number of Users 1-12,text,true,,505,751,1,1,14,0,0
1530021086192,13,Stock update SOAP Request,200,,Number of Users 1-12,text,true,,505,751,1,1,13,0,0
1530021086280,15,Stock update SOAP Request,200,,Number of Users 1-13,text,true,,505,751,1,1,15,0,0
1530021086295,14,Stock update SOAP Request,200,,Number of Users 1-13,text,true,,505,751,1,1,14,0,0
1530021086380,17,Stock update SOAP Request,200,,Number of Users 1-14,text,true,,505,751,1,1,17,0,0
1530021086398,12,Stock update SOAP Request,200,,Number of Users 1-14,text,true,,505,751,1,1,12,0,0
1530021086480,15,Stock update SOAP Request,200,,Number of Users 1-15,text,true,,505,751,1,1,15,0,0
1530021086496,13,Stock update SOAP Request,200,,Number of Users 1-15,text,true,,505,751,1,1,13,0,0
1530021086580,14,Stock update SOAP Request,200,,Number of Users 1-16,text,true,,505,751,1,1,14,0,0
1530021086595,13,Stock update SOAP Request,200,,Number of Users 1-16,text,true,,505,751,1,1,13,0,0
1530021086680,32,Stock update SOAP Request,200,,Number of Users 1-17,text,true,,505,751,1,1,32,0,1
1530021086713,12,Stock update SOAP Request,200,,Number of Users 1-17,text,true,,505,751,1,1,12,0,0
